Name,Speciality,Degree,Year_of_experience,Location,City,dp_score,npv,consultation_fee
Dr. Amul Eknath Gandhi,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",14,Kalyan Nagar,Bangalore,99,806,650
Dr. Syed Saqhib Suhail,Dentist,"BDS, Certificate of Oral Implantology",13,Hegde Nagar,Bangalore,97,111,350
Dr. Prabhavathi H.B,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",21,Bannerghatta Road,Bangalore,92,12,950
Dr. Suhanya Prasanna Kumar,Dentist,"BDS, MDS - Oral Medicine and Radiology",19,Electronics City,Bangalore,100,36,300
Dr. Lakshmi Mohandas,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",16,Kudlu,Bangalore,88,103,400
Dr. Divya Puranik,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",13,BTM Layout 2nd Stage,Bangalore,88,103,450
Dr. Shreya Francis,Dentist,BDS,8,Varthur,Bangalore,97,75,300
Dr. Roshan Varghese,Dentist,"BDS, MDS - Oral Medicine and Radiology",15,Horamavu,Bangalore,100,76,300
Dr. Anju Jeevan,Dentist,"BDS, MDS - Periodontology and Oral Implantology",15,Koramangala,Bangalore,100,38,900
Dr. Srinivas Panchajanya,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",20,JP Nagar 1 Phase,Bangalore,99,265,400
Dr. Geetha S,Dentist,BDS,14,KR Puram,Bangalore,97,352,300
Dr. Arunima Chandra,Dentist,BDS,8,Whitefield,Bangalore,100,132,300
Dr. Deepadnya Helekar,Dentist,BDS,20,Kundalahalli,Bangalore,98,98,350
Dr. Teena Aiyanna,Dentist,BDS,21,RT Nagar,Bangalore,100,39,400
Dr. Ramya,Dentist,BDS,20,Kundalahalli,Bangalore,98,41,400
Dr. Deepika Bartunia,Dentist,"MDS - Oral & Maxillofacial Surgery, BDS",13,Whitefield,Bangalore,100,23,300
Dr. Anjana Viswanath,Dentist,BDS,28,Ulsoor,Bangalore,100,29,600
Dr. Priya Manghani,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",15,AECS Layout,Bangalore,93,42,400
Dr. Murali Mohan .C.R,Dentist,MDS - Oral & Maxillofacial Surgery,8,Jayanagar,Bangalore,93,42,750
Dr. Shruti Sahay,Dentist,"BDS, MDS - Prosthodontics",17,DLF Newtown,Bangalore,95,37,350
Dr. P V Moxit,Dentist,BDS,17,Banashankari 3rd Stage,Bangalore,97,292,300
Dr. Minarbha,Dentist,BDS,17,Horamavu,Bangalore,99,112,400
Dr. Sapna S,Dentist,BDS,18,Kaggadasapura,Bangalore,97,112,550
Dr. Priya Mahimtura,Dentist,BDS,27,Electronics City,Bangalore,95,169,250
Dr. Sushil Kumar MS,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",7,Whitefield,Bangalore,99,101,500
Dr. Kartik Nath,Dentist,"MDS - Conservative Dentistry & Endodontics, BDS",10,HSR Layout,Bangalore,99,101,350
Dr. Preethi,Dentist,BDS,20,Jayanagar 7 Block,Bangalore,99,137,500
Dr. Gayathri Shashank,Dentist,BDS,15,Banashankari 1st Stage,Bangalore,93,54,500
Dr. Victory Ahanthem,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",15,Panathur,Bangalore,100,78,500
Dr. Neha Sarda,Dentist,BDS,15,Marathahalli,Bangalore,99,230,400
Dr. Aparajita Shankar,Dentist,"BDS, MDS - Orthodontics",7,Harlur,Bangalore,99,230,600
Dr. Abhishek Somani,Dentist,MDS - Conservative Dentistry & Endodontics,8,HSR Layout,Bangalore,99,230,300
Dr. Pranoti Bapurao Barkade,Dentist,BDS,8,Koramangala,Bangalore,100,80,500
Dr. Shradha Das,Dentist,BDS,8,HRBR Layout,Bangalore,98,139,500
Dr. Bibi Halima Shamaz,Dentist,BDS,15,Wilson Garden,Bangalore,100,46,500
Dr. Prashanth,Dentist,BDS,25,Indiranagar,Bangalore,99,210,300
Dr. Amrita,Dentist,BDS,17,Kasturi nagar,Bangalore,96,193,500
Dr. Shivekshith A K,Dentist,MDS - Conservative Dentistry & Endodontics,10,HSR Layout,Bangalore,96,70,300
Dr. Suthar Tausif,Dentist,BDS,11,JP Nagar,Bangalore,99,67,350
Dr. Bharath Asopa,Dentist,BDS,5,Koramangala 4 Block,Bangalore,99,67,350
Dr. Shankar S,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",10,Sanjay Nagar,Bangalore,93,42,300
Dr. Ashwini Narayana Swamy,Dentist,"BDS, MDS - Periodontics",15,Kalyan Nagar,Bangalore,100,54,400
Dr. Aisha Tarannum,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",15,Thanisandra,Bangalore,100,54,250
Dr. Malathi,Dentist,BDS,22,Indiranagar,Bangalore,84,45,500
Dr. Bagmi Mahapatra,Dentist,BDS,7,Harlur,Bangalore,84,45,400
Dr. Shruthi Mohan,Dentist,BDS,15,RMV 2nd Stage,Bangalore,84,45,250
Dr. Navya,Dentist,BDS,12,Jayanagar 7 Block,Bangalore,99,193,500
Dr. Lakshmi. S,Dentist,"MDS - Periodontics, BDS",17,Ramamurthy Nagar,Bangalore,99,193,350
Dr. Remya Premkumar,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",12,CV Raman Nagar,Bangalore,100,52,500
Dr. Vasuda Rajanna,Dentist,"BDS, MDS - Public Health Dentistry",17,JP Nagar,Bangalore,99,119,350
Dr. Vidya K.,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",16,HRBR Layout,Bangalore,100,28,400
Dr. Jayashri M,Dentist,"BDS, MDS - Periodontics",1,HSR Layout,Bangalore,100,28,500
Dr. Minal Deoghare,Dentist,BDS,12,Hebbal,Bangalore,100,28,500
Dr. Divya V,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",11,Bommasandra,Bangalore,100,28,300
Dr. Gouthami Datta,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",9,Kanakpura Road,Bangalore,100,28,300
Dr. Debarchhana Jena,Dentist,"MDS - Paedodontics And Preventive Dentistry, BDS",10,Kothanur,Bangalore,96,109,350
Dr. Sweta S,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",8,Vasanthnagar,Bangalore,96,109,600
Dr. Aiman Khan,Dentist,BDS,5,Vasanthnagar,Bangalore,96,109,600
Dr. Aditi Chandra,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",14,Whitefield,Bangalore,99,323,600
Dr. Kiran D V,Dentist,BDS,20,Bannerghatta Road,Bangalore,100,12,200
Dr. Shabnam M Khan,Dentist,BDS,11,Jayanagar,Bangalore,100,12,250
Dr. Jisha Thankam,Dentist,BDS,23,CV Raman Nagar,Bangalore,100,12,350
Dr. Eshani Kaul,Dentist,BDS,11,Banashankari 3rd Stage,Bangalore,97,35,200
Dr. Vishnu Vardhan,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",10,Jayanagar,Bangalore,97,35,300
Dr. Chaitanya S. H,Dentist,"MDS - Oral & Maxillofacial Surgery, BDS",21,Jeevanbhimanagar,Bangalore,98,125,500
Dr. Raghu Nandan,Dentist,"MDS - Oral & Maxillofacial Surgery, BDS",7,Sahakaranagar,Bangalore,98,125,300
Dr. Sridevi,Dentist,BDS,19,Vidyaranyapura,Bangalore,100,75,300
Dr. Partha Pratim Roy,Dentist,"BDS, MDS - Periodontology and Oral Implantology",11,Kothanur,Bangalore,94,17,300
Dr. Pooja  Borkar Chakraborty,Dentist,"BDS, MDS - Periodontics",13,Yelenahalli,Bangalore,100,33,200
Dr. Farooq Ahmed,Dentist,BDS,25,Frazer Town,Bangalore,100,166,300
Dr. Arpita Dutta,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",11,Electronics City,Bangalore,100,25,200
Dr. Anmol Bhat,Dentist,BDS,2,HSR Layout,Bangalore,100,25,500
Dr. Chitra S Shetty,Dentist,BDS,22,HSR Layout,Bangalore,97,34,400
Dr. Ann Thomas,Dentist,BDS,17,Ramamurthy Nagar,Bangalore,97,34,100
Dr. Veena Shambulinga,Dentist,BDS,30,HSR Layout,Bangalore,97,34,300
Dr. Vani U Bhat,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",11,Kanakpura Road,Bangalore,97,34,300
Dr. Shilpa Chittuluru,Dentist,"MDS - Orthodontics and Dentofacial Orthopaedics, BDS",15,Kanakpura Road,Bangalore,95,22,500
Dr. Nida,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",12,Jayanagar,Bangalore,100,154,300
Dr. Soumya Panchajanya,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",13,Yelenahalli,Bangalore,98,53,500
Dr. Shaista Durrani,Dentist,"MDS - Prosthodontist And Crown Bridge, BDS",13,Sarjapur Road,Bangalore,100,15,300
Dr. R Bharathi Deepak,Dentist,BDS,20,Mathikere - BEL,Bangalore,100,15,300
Dr. Sindhuri,Dentist,"MDS - Conservative Dentistry & Endodontics, BDS",11,Arekere,Bangalore,100,88,500
Dr. Adarsh MS,Dentist,"MDS - Conservative Dentistry & Endodontics, BDS",21,Chamarajpet,Bangalore,97,95,300
Dr. Chethan S,Dentist,"MDS - Orthodontics and Dentofacial Orthopaedics, BDS",10,HSR Layout,Bangalore,97,95,750
Dr. Lakshmi C,Dentist,"BDS, MDS - Oral Medicine and Radiology",6,KR Puram,Bangalore,96,55,300
Dr. Shyamala Pakki,Dentist,BDS,16,Thanisandra,Bangalore,96,55,300
Dr. Tasmiya Kouser,Dentist,BDS,5,Lingarajapuram,Bangalore,100,21,200
Dr. Sulaxana Birkodi,Dentist,"BDS, P.G. Diploma in Conservative Dentistry",14,New Thippasandra,Bangalore,100,104,500
Dr. Sapna Paniker,Dentist,BDS,28,Jeevanbhimanagar,Bangalore,100,13,400
Dr. Anup Belludi,Dentist,"MDS - Orthodontics, BDS",29,Vijayanagar,Bangalore,100,13,300
Dr. Sunil Anto,Dentist,BDS,21,Ulsoor,Bangalore,100,13,400
Dr. Dharmishtha N Chovatiya,Dentist,"MDS - Prosthodontist And Crown Bridge, BDS",12,HRBR Layout,Bangalore,100,22,600
Dr. Kumar Gaurav,Dentist,"BDS, MDS - Periodontics",12,HSR Layout,Bangalore,100,15,400
Dr. Samadnya Jawalekar,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",12,HSR Layout,Bangalore,100,58,500
Dr. Latha.G,Dentist,"BDS, MDS - Periodontics",16,BTM Layout,Bangalore,100,58,300
Dr. Imtiaz Ahmed,Dentist,BDS,34,Upparahalli,Bangalore,100,58,200
Dr. Shameel Ahmed Shariff,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",11,HSR Layout,Bangalore,100,58,200
Dr. Dinesh Shetty,Dentist,BDS,19,Millers Road,Bangalore,100,67,1000
Dr. Sanjna K Sreenivasan,Dentist,"MDS - Paedodontics And Preventive Dentistry, BDS",5,Kasturi nagar,Bangalore,100,67,300
Dr. Harini Krishnan,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",7,Kanakpura Road,Bangalore,100,67,300
Dr. Sowmya Subash,Dentist,"MDS - Orthodontics and Dentofacial Orthopaedics, BDS",18,Sanjay Nagar,Bangalore,100,67,300
Dr. Arya Madhurkar,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",8,Banashankari 2nd Stage,Bangalore,100,67,400
Dr. Jeba Mary Nadar,Dentist,BDS,13,Indiranagar,Bangalore,100,67,500
Dr. Sinita Pauline Roberts,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",5,HSR Layout,Bangalore,100,67,550
Dr. Uzma Hassan,Dentist,BDS,6,Koramangala 4 Block,Bangalore,100,67,500
Dr. Vinutha M,Dentist,BDS,5,CV Raman Nagar,Bangalore,100,67,250
Dr. Kishor S Gowda,Dentist,BDS,5,Horamavu,Bangalore,100,67,400
Dr. Aruna H,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",17,Malleswaram,Bangalore,100,67,500
Dr. Sowkya,Dentist,BDS,7,RT Nagar,Bangalore,100,67,200
Dr. Nida Shaik,Dentist,BDS,10,Sahakaranagar,Bangalore,100,67,300
Dr. Prashanth Bhat,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",11,Seshadripuram,Bangalore,100,67,740
Dr. Reena Augustine,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",9,Kalyan Nagar,Bangalore,100,67,300
Dr. Vinay Ashok Kumar,Dentist,BDS,5,Jayanagar,Bangalore,100,13,300
Dr. Mohammad Asif Kiresur,Dentist,"BDS, MDS - Oral Pathalogy & Microbiology",14,Koramangala,Bangalore,100,13,500
Dr. Soumyashree BV,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",15,Sanjay Nagar,Bangalore,100,13,300
Dr. Pallapoiu Vasavi,Dentist,BDS,5,Sarjapur Road,Bangalore,100,13,500
Dr. Jamoy James,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",4,HSR Layout,Bangalore,100,13,500
Dr. Suraiya Taranum,Dentist,BDS,2,BTM Layout 1st Stage,Bangalore,100,13,300
Dr. Priya Gohokar,Dentist,BDS,7,HSR Layout,Bangalore,100,13,350
Dr. Preethi Naidu,Dentist,BDS,13,BTM Layout 1st Stage,Bangalore,100,13,300
Dr. Sushmita,Dentist,BDS,4,Chamarajpet,Bangalore,100,13,300
Dr. Shoba Harish Kumar,Dentist,BDS,21,Sadashivanagar,Bangalore,100,13,500
Dr. Keerthana K,Dentist,"MDS - Oral & Maxillofacial Surgery and Oral Implantology, BDS",4,VV Puram,Bangalore,100,13,350
Dr. Ravuru Neeharika,Dentist,"BDS, MDS - Oral Pathology and Oral Microbiology",11,Mahadevapura,Bangalore,100,13,500
Dr. Manoj Kumari,Dentist,BDS,9,West Of Chord Road,Bangalore,100,13,300
Dr. Mohamed Asadulla,Dentist,BDS,7,Upparahalli,Bangalore,100,13,300
Dr. Judith Christina,Dentist,BDS,5,HRBR Layout,Bangalore,100,13,500
Dr. Sheena Roberts,Dentist,BDS,12,Koramangala,Bangalore,100,13,500
Dr. Sharanya Shaker,Dentist,BDS,8,JP Nagar,Bangalore,100,13,500
Dr. Vishwanath,Dentist,"BDS, MDS - Orthodontics",23,Kadugodi,Bangalore,91,33,500
Dr. Prashanth,Dentist,"BDS, Post Graduate Diploma in Orthodontics",24,Vijayanagar,Bangalore,96,1341,200
Dr. Shantipriya Reddy,Dentist,"BDS, MDS - Periodontics",33,Old Airport Road,Bangalore,94,31,300
Dr. Divyashree Rajendra,Dentist,"MDS - Orthodontics, BDS",20,HSR Layout,Bangalore,98,2153,700
Dr. Nikhar Ravinder,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",21,Whitefield,Bangalore,99,1153,600
Dr. Arundati Krishna Raj,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",19,RT Nagar,Bangalore,98,351,200
Dr. Vishwanath Rangdhol,Dentist,"MDS - Oral Medicine and Radiology, BDS",26,Nagawara,Bangalore,100,144,300
Dr. Shaila Kumar,Dentist,BDS,30,Whitefield,Bangalore,95,742,400
Dr. Nandini S,Dentist,"BDS, MDS - Orthodontics",26,Bellandur,Bangalore,100,51,400
Dr. Suman Makam,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",24,Jayanagar 5 Block,Bangalore,96,49,400
Dr. Jinesh Babu R,Dentist,"MDS - Orthodontics and Dentofacial Orthopaedics, BDS",9,Sadashivanagar,Bangalore,98,42,300
Dr. Sumukh M,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",12,Basaveshwaranagar,Bangalore,99,237,300
Dr. Vasavi Sravya Arveti,Dentist,BDS,11,Thanisandra,Bangalore,97,272,300
Dr. Jaikishan Shetty,Dentist,BDS,27,Koramangala 1 Block,Bangalore,97,272,200
Dr. Sarah Stanislas,Dentist,BDS,10,Malleswaram,Bangalore,100,32,300
Dr. Reena John,Dentist,BDS,29,Indiranagar,Bangalore,99,217,500
Dr. Sangeeta Khar,Dentist,"BDS, MDS - Oral Pathology and Oral Microbiology",26,Kasturi nagar,Bangalore,96,162,500
Dr. Shreyas Rajaram,Dentist,"BDS, MDS - Orthodontics",13,Banaswadi,Bangalore,98,92,300
Dr. Shylesh Shetty,Dentist,"BDS, MDS - Conservative Dentistry ",24,Indiranagar,Bangalore,99,1431,1000
Dr. Neeraja Raju,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",29,BTM Layout,Bangalore,98,1041,250
Dr. Nasiha Fathima Z,Dentist,"BDS, MDS - Periodontics",13,Bilekahalli,Bangalore,99,114,250
Dr. Lokesh Babu,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",24,Whitefield,Bangalore,99,129,850
Dr. Jayashankar B V,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",12,Millers Road,Bangalore,99,129,700
Dr. Abhishek B,Dentist,"BDS, MDS - Oral Pathology and Oral Microbiology, Fellowship in Oral implantlogy",16,Rajajinagar,Bangalore,100,165,200
Dr. Satish M S,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",19,Hebbal,Bangalore,97,29,1000
Dr. Kasipathy Kasina,Dentist,"BDS, Fellowship in Medical Cosmetology (FMC)",19,RT Nagar,Bangalore,97,71,500
Dr. Madhusudhan,Dentist,BDS,25,Vijayanagar,Bangalore,97,216,500
Dr. Ratan Salecha,Dentist,"BDS, Post Graduate Diploma In Aesthetic & Restorative Dentistry",21,Basavanagudi,Bangalore,94,167,300
Dr. Pooja Srinivas,Dentist,BDS,12,Hanumanthnagar,Bangalore,98,187,300
Dr. Anirban Chatterjee,Dentist,"BDS, MDS - Periodontics",30,Jayanagar 9 Block,Bangalore,81,26,500
Dr. Raghavendra,Dentist,BDS,14,RT Nagar,Bangalore,97,343,200
Dr. Nahid Azeeza Khan,Dentist,BDS,15,Koramangala,Bangalore,99,97,500
Dr. Rajeshri Kamath,Dentist,"BDS, Post Graduate Diploma In Aesthetic & Restorative Dentistry",31,Malleshpalya,Bangalore,95,164,300
Dr. Khyathi J Rao,Dentist,BDS,16,Vijayanagar,Bangalore,99,232,300
Dr. Sridevi Shetty,Dentist,"MDS - Periodontics, BDS",16,Sahakaranagar,Bangalore,98,62,300
Dr. Bhavana Patil,Dentist,BDS,15,Hebbal Kempapura,Bangalore,98,81,500
Dr. Shobha Nangrani,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",20,Brookefield,Bangalore,93,582,400
Dr. Mahesh C.M,Dentist,"BDS, MDS",28,Banashankari 3rd Stage,Bangalore,98,55,250
Dr. Prithvi B S,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",19,Jayanagar 9 Block,Bangalore,98,95,500
Dr. Kiran Kumar,Dentist,BDS,19,Bannerghatta Road,Bangalore,99,369,300
Dr. Madhumalar,Dentist,BDS,18,Bellandur,Bangalore,99,74,200
Dr. Savitha S Bhat,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",24,Bommanahalli,Bangalore,96,72,400
Dr. Sajan Subbaiah,Dentist,BDS,15,Koramangala,Bangalore,99,261,350
Dr. Sreesha N,Dentist,"BDS, MDS - Periodontics",19,Yelahanka New Town,Bangalore,100,15,300
Dr. V. Ravinder,Dentist,"BDS, MDS - Orthodontics, MOrth, Certificate of Oral Implantology",24,Whitefield,Bangalore,99,2105,600
Dr. Srimani,Dentist,BDS,24,JP Nagar 1 Phase,Bangalore,96,95,200
Dr. Pragya Pathak,Dentist,"BDS, Fellowship in Oral implantlogy, MDS - Periodontics",9,Indiranagar,Bangalore,98,168,1000
Dr. Rohit Prasad,Dentist,"BDS, MDS - Periodontology and Oral Implantology",15,Hennur,Bangalore,100,101,250
Dr. Jagadish N,Dentist,BDS,15,Kadugodi,Bangalore,97,215,300
Dr. Swamy M.E.S,Dentist,BDS,23,Marathahalli,Bangalore,99,231,500
Dr. Jagan Mohan Reddy,Dentist,"BDS, MDS - Prosthodontics",20,CV Raman Nagar,Bangalore,97,358,500
Dr. Vijai Jeevan,Dentist,BDS,30,Marathahalli,Bangalore,94,266,500
Dr. Chandni Vohra Reddy,Dentist,"BDS, MDS",15,BTM Layout 2nd Stage,Bangalore,97,100,200
Dr. Priya Bansal,Dentist,BDS,17,Koramangala,Bangalore,99,447,500
Dr. Salil Choudhary,Dentist,BDS,12,Malleswaram,Bangalore,89,28,300
Dr. Juno S,Dentist,BDS,21,RT Nagar,Bangalore,89,28,400
Dr. Thabitha Rao,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",8,Ramamurthy Nagar,Bangalore,95,19,300
Dr. Sandeep B R,Dentist,BDS,20,Jayanagar 2 Block,Bangalore,100,28,400
Dr. Vipin Jain K,Dentist,"BDS, MDS - Public Health Dentistry",16,Rajajinagar,Bangalore,97,39,300
Dr. Sharon Colaco Dias,Dentist,BDS,34,Old Airport Road,Bangalore,96,447,600
Dr. M S Vishwas,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",24,Hebbal Kempapura,Bangalore,100,36,300
Dr. Asha C.K,Dentist,BDS,32,Kammana Halli,Bangalore,99,380,250
Dr. Madhavi V Kadur,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",20,Kanakpura Road,Bangalore,100,25,200
Dr. Deepak Nath,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",32,JP Nagar,Bangalore,94,386,300
Dr. S. R. Sairam,Dentist,BDS,25,Whitefield,Bangalore,97,599,200
Dr. Manju P B,Dentist,BDS,4,Nagarbhavi 2nd Stage,Bangalore,100,11,200
Dr. Harshita Choudhary,Dentist,BDS,23,Koramangala,Bangalore,97,684,500
Dr. Prashanth G.S,Dentist,"MDS - Orthodontics, BDS, MOrth",21,Jayanagar 9 Block,Bangalore,98,119,300
Dr. Dinesh M R,Dentist,"BDS, MDS - Orthodontics",37,Jayanagar 2 Block,Bangalore,98,119,350
Dr. Smitha Shetty,Dentist,"BDS, MDS - Orthodontics",20,Vijayanagar,Bangalore,100,115,300
Dr. Annapoorna Katwa,Dentist,BDS,20,Electronics City,Bangalore,99,718,400
Dr. Shambhu H Shivanna,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",24,Jayanagar 9 Block,Bangalore,98,612,400
Dr. Raghunandana D Karantha,Dentist,BDS,34,Vijayanagar,Bangalore,99,229,500
Dr. Neha Singh,Dentist,"MDS - Orthodontics and Dentofacial Orthopaedics, BDS",10,Hegde Nagar,Bangalore,99,398,350
Dr. Shyam Padmanabhan,Dentist,"BDS, MDS - Periodontics",25,New Thippasandra,Bangalore,99,635,500
Dr. Keerthi R,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",18,Vijayanagar,Bangalore,100,51,300
Dr. Rolly Sharma,Dentist,BDS,10,Electronics City,Bangalore,100,51,250
Dr. Srinivas K,Dentist,"BDS, MDS - Oral Medicine and Radiology",26,Old Airport Road,Bangalore,99,341,600
Dr. Akhilesh Sharma,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",19,Jayanagar 9 Block,Bangalore,95,37,650
Dr. Sandhya Ramanujam,Dentist,BDS,29,Bannerghatta Road,Bangalore,90,187,500
Dr. Asha Praveena,Dentist,"BDS, MDS - Periodontics",15,Kaggadasapura,Bangalore,98,440,300
Dr. Anita Mishra,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",13,Mathikere - BEL,Bangalore,100,207,300
Dr. Rajkumar S Alle,Dentist,"BDS, PhD - Orthodontics & Dentofacial Orthopaedics",30,Sahakaranagar,Bangalore,90,146,250
Dr. Sreenivasan K,Dentist,BDS,27,Viveknagar,Bangalore,98,124,400
Dr. Mir Sujath Ali,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",22,Old Airport Road,Bangalore,98,358,600
Dr. Amitha. M,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",19,Whitefield,Bangalore,91,33,200
Dr. Anjum Sharief,Dentist,"PhD - Orthodontics & Dentofacial Orthopaedics, BDS",17,HRBR Layout,Bangalore,92,191,600
Dr. Shalini Machado,Dentist,"BDS, FICOI, MICOI (USA)",36,HRBR Layout,Bangalore,96,633,600
Dr. Chiranjeevi Reddy,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",23,Kundalahalli,Bangalore,98,248,400
Dr. Shraddha Bahirwani,Dentist,BDS,30,Old Airport Road,Bangalore,83,12,600
Dr. Amarnath BC,Dentist,"BDS, PhD - Orthodontics & Dentofacial Orthopaedics",32,Whitefield,Bangalore,98,130,200
Dr. Uday Kamath,Dentist,"MDS - Conservative Dentistry & Endodontics, BDS",35,Koramangala,Bangalore,100,212,500
Dr. Ranjani Rao,Dentist,BDS,25,Electronics City,Bangalore,93,197,500
Dr. Karthik Cariappa,Dentist,"MDS - Orthodontics and Dentofacial Orthopaedics, BDS",13,Whitefield,Bangalore,90,48,500
Dr. Sneha Kumari Ojha,Dentist,BDS,8,Bellandur,Bangalore,90,48,300
Dr. Aarti Talikoti,Dentist,"BDS, MDS - Prosthodontics",20,Jayanagar 9 Block,Bangalore,97,186,400
Dr. Ashok,Dentist,"BDS, PhD - Orthodontics & Dentofacial Orthopaedics",14,Marathahalli,Bangalore,97,173,300
Dr. Karthik Venkataraghavan,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",25,Domlur,Bangalore,96,703,600
Dr. Hemalatha Ahuja,Dentist,BDS,44,Electronics City,Bangalore,80,15,500
Dr. Sonali Kumari,Dentist,BDS,10,HSR Layout,Bangalore,80,15,400
Dr. Sowmya,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",13,Gubbalala,Bangalore,97,31,200
Dr. Smitha M,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",23,RT Nagar,Bangalore,91,22,400
Dr. K S Suryaanarayanan,Dentist,BDS,6,Vidyaranyapura,Bangalore,100,23,200
Dr. Sandhya Karthik,Dentist,BDS,25,Domlur,Bangalore,93,228,600
Dr. K M Basha,Dentist,BDS,22,BTM Layout 2nd Stage,Bangalore,94,173,200
Dr. Shahul Kamal Asif,Dentist,"BDS, Fellowship in Oral implantlogy",9,Frazer Town,Bangalore,100,134,350
Dr. Prabhuraj,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",27,Rajarajeshwarinagar,Bangalore,100,134,300
Dr. Monika Tripathi,Dentist,BDS,11,Kundalahalli,Bangalore,98,65,100
Dr. Veerendra,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",16,KR Puram,Bangalore,90,42,400
Dr. Savita Singh,Dentist,"MDS - Periodontics, BDS",14,Varthur,Bangalore,100,173,200
Dr. Gurudev. S,Dentist,BDS,21,Domlur,Bangalore,98,706,500
Dr. Sainath Adsare,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",12,BTM Layout,Bangalore,99,256,250
Dr. Shanmugapriya,Dentist,"MDS - Conservative Dentistry & Endodontics, BDS",16,Koramangala 6 Block,Bangalore,100,137,400
Dr. Janani Rangaswamy,Dentist,"MDS - Paedodontics And Preventive Dentistry, BDS",8,Whitefield,Bangalore,98,123,500
Dr. Javad Saleem,Dentist,"BDS, MDS - Prosthodontics",16,Whitefield,Bangalore,95,111,300
Dr. Suman Reddy,Dentist,"BDS, MSc - Master of Oral Implantology (MOI), Fellowship and Diplomate in Implantology from ICOI (USA)",21,Kadubeesanahalli,Bangalore,91,841,600
